objectid,constituentid,displayorder,roletype,role,prefix,suffix,displaydate,beginyear,endyear,country,zipcode
88,1950,1,artist,artist,,,,,,,
88,1950,1,owner,previous owner,,,- 1660,,1660.0,,
90,1219,12,owner,previous owner,,", Paris, FRA",1894 - 1918,1894.0,1918.0,,
90,1356,1,artist,painter,,,,,,,
90,1356,1,owner,previous owner,,", Toledo, Spain",- 1614,,1614.0,,
12131,1818,1,artist,artist,,,,,,,
91,1356,2,artist,related artist,Workshop of,,,,,,
93,1353,2,artist,related artist,Workshop of,,,,,,
95,1353,1,artist,artist,,,,,,,
12145,989,1,artist,painter,Attributed to,,,,,,
46572,1219,1,owner,previous owner,,,- 1917,,1917.0,,
54620,1221,1,artist,artist,,,,,,,
54621,1221,1,artist,artist,,,,,,,
7780,1256,2,artist,artist after,,,,,,,
48198,1353,1,artist,artist,,,,,,,
53090,1966,1,artist,artist,,,,,,,
53092,1783,1,artist,artist,,,,,,,
56118,1966,31,artist,artist,,,,,,,
71072,1783,1,artist,artist,,,,,,,
112273,5058,1,artist,artist,,,,,,,
112274,5058,1,artist,artist,,,,,,,
46587,1174,1,artist,artist,,,,,,,
41298,1353,1,artist,artist,,,,,,,
72328,1349,1,artist,painter,,,,,,,
46596,1219,1,artist,artist,,,,,,,
46596,1219,1,owner,previous owner,,,- 1918,,1918.0,,
46598,1219,1,artist,artist,,,,,,,
46600,1219,1,artist,artist,,,,,,,
53123,1726,1,owner,previous owner,,,,,,,
42801,1935,1,artist,artist,,,,,,,
152204,1783,1,artist,artist,,,,,,,
152205,1783,1,artist,artist,,,,,,,
42802,1330,1,artist,artist,,,,,,,
46602,1221,1,artist,artist,,,,,,,
53126,1174,1,artist,artist,,,,,,,
10104,1791,1,artist,artist,,,,,,,
41356,1219,1,artist,artist,,,,,,,
53136,1706,1,artist,artist,,,,,,,
53139,1870,1,artist,artist,,,,,,,
10137,1818,2,artist,artist after,,,,,,,
10138,1818,2,artist,artist after,,,,,,,
152480,1783,1,artist,artist,,,,,,,
152485,1783,1,artist,artist,,,,,,,
41377,1783,1,artist,artist,,,,,,,
42836,1783,1,artist,artist,,,,,,,
46624,1330,1,artist,painter,,,,,,,
46625,1330,1,artist,painter,,,,,,,
46626,1349,1,artist,painter,,,,,,,
53144,1256,1,artist,artist,,,,,,,
91414,1721,1,artist,artist,,,,,,,
46641,1706,1,artist,artist,,,,,,,
53156,5058,1,artist,artist,,,,,,,
53157,1256,1,artist,artist,,,,,,,
54769,1783,1,artist,artist,,,,,,,
54770,1783,1,artist,artist,,,,,,,
152519,1256,4,artist,artist after,,,,,,,
10147,1818,2,artist,artist after,,,,,,,
10153,1831,1,artist,artist,,,,,,,
152794,1706,1,artist,artist,,,,,,,
152796,5058,1,artist,artist,,,,,,,
46627,1349,1,artist,painter,,,,,,,
39813,1256,1,artist,artist,,,,,,,
39827,1353,1,artist,artist,,,,,,,
39828,1353,1,artist,artist,,,,,,,
39828,1950,2,artist,artist after,,,,,,,
39830,1353,1,artist,artist,,,,,,,
39830,1950,2,artist,artist after,,,,,,,
39831,1353,1,artist,artist,,,,,,,
39831,1950,2,artist,artist after,,,,,,,
39836,1353,1,artist,artist,,,,,,,
39839,1353,1,artist,artist,,,,,,,
39841,1353,1,artist,artist,,,,,,,
39845,1353,1,artist,artist,,,,,,,
46643,1706,1,artist,artist,,,,,,,
46644,1706,1,artist,artist,,,,,,,
46648,1722,1,artist,artist,,,,,,,
39847,1353,1,artist,artist,,,,,,,
39848,1353,1,artist,artist,,,,,,,
39851,1353,1,artist,artist,,,,,,,
91552,1783,1,artist,artist,,,,,,,
91590,1783,1,artist,artist,,,,,,,
46651,1722,1,artist,artist,,,,,,,
46652,1726,1,artist,artist,,,,,,,
46653,1726,1,artist,artist,,,,,,,
46657,1726,1,artist,artist,,,,,,,
30597,5058,1,artist,artist,,,,,,,
46667,1783,1,artist,artist,,,,,,,
61062,1706,1,artist,artist,,,,,,,
62537,1353,1,artist,artist,,,,,,,
102968,5058,1,artist,artist,,,,,,,
102969,5058,1,artist,artist,,,,,,,
110690,2638,1,artist,artist,,,,,,,
39890,1706,1,artist,artist,,,,,,,
46669,1783,1,artist,artist,,,,,,,
46670,1783,1,artist,artist,,,,,,,
46671,1783,1,artist,artist,,,,,,,
46674,1791,1,artist,artist,,,,,,,
61078,1783,1,artist,artist,,,,,,,
48407,1706,1,artist,artist,,,,,,,
48409,1706,1,artist,artist,,,,,,,
65713,1966,1,artist,artist,,,,,,,
91935,1117,1,artist,artist,,,,,,,
91960,1783,1,artist,artist,,,,,,,
110703,1932,2,artist,artist after,,,,,,,
119923,1932,2,artist,artist after,,,,,,,
36475,1256,3,artist,artist after,,,,,,,
41471,1935,1,artist,artist,,,,,,,
73591,1783,1,artist,artist,,,,,,,
73592,1783,1,artist,artist,,,,,,,
400,1932,2,artist,related artist,Workshop of,,,,,,
152773,1793,1,artist,artist,,,,,,,
46695,1935,1,artist,artist,,,,,,,
46696,1935,1,artist,artist,,,,,,,
61113,1783,1,artist,artist,,,,,,,
61117,1783,1,artist,artist,,,,,,,
61119,1783,1,artist,artist,,,,,,,
69964,1256,1,artist,artist,,,,,,,
53281,1818,2,artist,artist after,,,,,,,
56335,1721,1,artist,artist,,,,,,,
32617,5058,4,artist,artist,and,,,,,,
53293,1818,2,artist,artist after,,,,,,,
62619,1793,1,artist,artist,,,,,,,
8109,2594,1,artist,artist,,,,,,,
8110,2594,1,artist,artist,,,,,,,
8111,2594,1,artist,artist,,,,,,,
30716,5058,1,artist,artist,,,,,,,
30717,5058,1,artist,artist,,,,,,,
30719,5058,1,artist,artist,,,,,,,
30720,5058,1,artist,artist,,,,,,,
32644,3473,2,artist,artist after,,,,,,,
435,1932,1,artist,painter,,,,,,,
30721,5058,1,artist,artist,,,,,,,
30724,5058,1,artist,artist,,,,,,,
30728,5058,1,artist,artist,,,,,,,
30731,5058,1,artist,artist,,,,,,,
30732,5058,1,artist,artist,,,,,,,
30733,5058,1,artist,artist,,,,,,,
30734,5058,1,artist,artist,,,,,,,
30737,1932,3,artist,artist after,,,,,,,
119959,1721,1,artist,artist,,,,,,,
128357,5058,1,artist,artist,,,,,,,
130641,1935,1,artist,artist,,,,,,,
130642,1935,1,artist,artist,,,,,,,
62636,1932,2,artist,artist after,,,,,,,
48528,1783,1,artist,artist,,,,,,,
61195,1818,1,artist,artist,,,,,,,
81456,1479,1,artist,author,,,,,,,
130651,1935,1,artist,artist,,,,,,,
130653,1935,1,artist,artist,,,,,,,
130656,1935,1,artist,artist,,,,,,,
134392,3473,1,artist,artist,Follower of,,,,,,
136683,1932,2,artist,artist after,,,,,,,
136686,1932,3,artist,artist after,,,,,,,
137834,1932,2,artist,artist after,,,,,,,
112663,1330,1,artist,artist,,,,,,,
142047,5058,1,artist,artist,,,,,,,
48530,1783,1,artist,artist,,,,,,,
48532,1783,1,artist,artist,,,,,,,
48535,1783,1,artist,artist,,,,,,,
48537,1783,1,artist,artist,,,,,,,
48538,1783,1,artist,artist,,,,,,,
48540,1783,1,artist,artist,,,,,,,
48541,1783,1,artist,artist,,,,,,,
57958,1117,1,artist,artist,,,,,,,
65812,1330,1,artist,artist/publisher,,,,,,,
